Departure Time,Duration,Price,Airline Code,Number of Stops,Origin Country,Destination Country
2024-10-05T20:00:00,,1241.40,RQ,2,Afghanistan,Albania
2024-12-09T16:15:00,23.666666666666668,833.30,FZ,2,Afghanistan,Angola
2024-11-26T16:15:00,35.166666666666664,1845.30,FZ,2,Afghanistan,Argentina
2025-01-12T15:00:00,,616.40,FZ,1,Afghanistan,Armenia
2024-12-13T09:25:00,26.416666666666668,1344.90,EK,1,Afghanistan,Australia
2025-02-06T16:15:00,30.083333333333332,945.30,EK,1,Afghanistan,Austria
2024-11-16T16:15:00,34.083333333333336,818.20,FZ,2,Afghanistan,Azerbaijan
2024-07-13T16:20:00,17.916666666666668,662.30,EK,1,Afghanistan,Bahrain
2024-10-12T16:20:00,,1662.60,EK,2,Afghanistan,Barbados
2024-12-28T16:15:00,29.916666666666668,955.30,FZ,2,Afghanistan,Belgium
2024-07-08T16:20:00,23.416666666666668,1140.00,FZ,2,Afghanistan,Benin
2024-08-24T16:20:00,53.416666666666664,2479.70,EK,2,Afghanistan,Bolivia
2025-01-20T16:15:00,26.916666666666668,735.90,FZ,2,Afghanistan,Bosnia and Herzegovina
2024-08-04T09:40:00,24.083333333333332,1345.20,EK,2,Afghanistan,Botswana
2025-01-23T16:15:00,45.75,2897.50,EK,2,Afghanistan,Brazil
2025-01-29T09:25:00,22.25,3649.90,FZ,2,Afghanistan,Brunei Darussalam
2024-10-29T16:15:00,26.083333333333332,833.30,FZ,2,Afghanistan,Burkina Faso
2024-08-12T16:20:00,35.25,1441.80,EK,2,Afghanistan,Cameroon
2024-10-16T17:25:00,33.43333333333333,1708.20,RQ,2,Afghanistan,Canada
2025-03-16T16:15:00,47.583333333333336,1526.30,EK,2,Afghanistan,Central African Republic
2024-12-09T16:15:00,23.416666666666668,833.30,FZ,2,Afghanistan,Chad
2025-03-28T16:15:00,44.416666666666664,3098.10,EK,2,Afghanistan,Chile
2024-10-31T16:15:00,44.916666666666664,2693.30,EK,2,Afghanistan,Colombia
2024-11-19T16:15:00,50.583333333333336,1891.28,EK,2,Afghanistan,Costa Rica
2024-09-19T16:20:00,25.5,994.50,EK,1,Afghanistan,Ivory Coast
2025-03-12T16:15:00,24.166666666666668,616.40,FZ,1,Afghanistan,Croatia
2024-12-03T16:15:00,22.166666666666668,1381.30,FZ,2,Afghanistan,Cyprus
2024-10-07T16:20:00,30.416666666666668,616.40,FZ,1,Afghanistan,Czech Republic
2024-12-19T09:25:00,18.583333333333332,1010.30,FZ,2,Afghanistan,Djibouti
2024-12-20T16:15:00,31.333333333333332,3315.73,FZ,2,Afghanistan,Dominican Republic
2024-07-03T17:25:00,36.666666666666664,1991.10,RQ,2,Afghanistan,Ecuador
2024-11-26T16:15:00,55.56666666666667,3272.70,EK,2,Afghanistan,El Salvador
2025-02-06T16:15:00,46.833333333333336,1420.50,FZ,2,Afghanistan,Equatorial Guinea
2024-11-30T09:25:00,14.666666666666666,616.40,FZ,1,Afghanistan,Eritrea
2024-07-19T16:20:00,28.25,1712.30,EK,2,Afghanistan,Estonia
2024-09-11T09:40:00,27.666666666666668,1318.20,EK,2,Afghanistan,Eswatini
2025-01-14T16:15:00,21.916666666666668,1053.30,EK,1,Afghanistan,Ethiopia
2025-03-29T09:25:00,13.583333333333334,2082.30,EK,1,Afghanistan,France
2024-12-17T16:15:00,21.75,1032.90,FZ,2,Afghanistan,Gabon
2024-11-29T09:25:00,13.416666666666666,945.30,EK,1,Afghanistan,Germany
2025-03-25T16:15:00,40.25,844.80,FZ,2,Afghanistan,Ghana
2024-11-24T15:00:00,29.833333333333332,824.70,FZ,2,Afghanistan,Greece
2024-07-04T17:25:00,53.583333333333336,2042.20,RQ,2,Afghanistan,Guatemala
2024-10-21T17:25:00,25.083333333333332,1314.30,RQ,1,Afghanistan,Guinea
2025-01-13T16:15:00,54.833333333333336,3301.20,EK,2,Afghanistan,Honduras
2024-08-07T17:25:00,26.416666666666668,4218.70,RQ,2,Afghanistan,Iceland
2024-11-19T16:15:00,,1150.70,EK,2,Afghanistan,Indonesia
2024-11-19T16:15:00,8.583333333333334,749.30,EK,1,Afghanistan,Iran
2024-07-18T14:15:00,25.666666666666668,836.30,EK,1,Afghanistan,Iraq
2024-07-22T16:20:00,23.416666666666668,1346.30,EK,1,Afghanistan,Ireland
2024-12-18T15:00:00,34.833333333333336,874.20,FZ,2,Afghanistan,Israel
2024-11-15T16:15:00,,945.30,EK,1,Afghanistan,Italy
2024-11-02T16:15:00,42.833333333333336,784.10,FZ,2,Afghanistan,Jamaica
2025-03-04T16:15:00,35.416666666666664,1230.30,EK,2,Afghanistan,Japan
2024-08-20T16:20:00,9.75,1220.30,EK,1,Afghanistan,Kazakhstan
2024-08-02T09:40:00,17.166666666666668,833.30,FZ,2,Afghanistan,Kenya
2025-02-01T16:15:00,30.583333333333332,1018.80,FZ,2,Afghanistan,Kuwait
2024-12-18T15:00:00,12.166666666666666,616.40,FZ,1,Afghanistan,Kyrgyzstan
2025-01-09T16:15:00,23.416666666666668,1750.30,FZ,2,Afghanistan,Lao
2024-09-18T14:15:00,21.25,619.70,FZ,1,Afghanistan,Lebanon
2024-07-14T17:25:00,28.916666666666668,1520.80,RQ,2,Afghanistan,Liberia
2024-12-08T16:15:00,23.833333333333332,1361.90,EK,2,Afghanistan,Lithuania
2024-10-29T16:15:00,29.333333333333332,1118.40,EK,2,Afghanistan,Luxembourg
2024-09-22T17:25:00,23.333333333333332,1036.20,RQ,2,Afghanistan,Madagascar
2024-10-24T20:00:00,44.083333333333336,1463.30,RQ,2,Afghanistan,Malawi
2024-07-05T16:20:00,18.833333333333332,1503.50,FZ,2,Afghanistan,Malaysia
2024-08-08T14:15:00,15.833333333333334,620.40,FZ,1,Afghanistan,Maldives
2025-01-07T16:15:00,,1193.80,EK,2,Afghanistan,Mali
2025-01-06T16:15:00,24.5,1026.30,EK,1,Afghanistan,Malta
2024-07-03T17:25:00,35.5,1348.00,RQ,2,Afghanistan,Mauritania
2024-09-12T16:20:00,17.333333333333332,1045.30,EK,1,Afghanistan,Mauritius
2024-11-01T16:15:00,38.5,2313.86,FZ,2,Afghanistan,Mexico
2024-07-27T09:40:00,13.666666666666666,1121.30,EK,1,Afghanistan,Monaco
2025-02-05T16:15:00,21.583333333333332,4433.10,FZ,2,Afghanistan,Morocco
2025-02-01T16:15:00,23.583333333333332,1215.30,FZ,2,Afghanistan,Namibia
2024-07-10T08:00:00,13.083333333333334,840.90,RQ,1,Afghanistan,Netherlands
2024-09-25T17:25:00,32.916666666666664,1492.50,RQ,1,Afghanistan,New Zealand
2025-03-15T16:15:00,23.75,1094.30,FZ,2,Afghanistan,Niger
2024-10-13T16:20:00,23.583333333333332,833.30,FZ,2,Afghanistan,Nigeria
2025-02-02T15:00:00,35.916666666666664,735.90,FZ,2,Afghanistan,North Macedonia
2024-11-02T15:00:00,9.416666666666666,420.50,FZ,1,Afghanistan,Oman
2025-03-09T09:25:00,19.833333333333332,1051.30,FZ,2,Afghanistan,Pakistan
2024-11-11T16:15:00,46.53333333333333,1686.45,EK,2,Afghanistan,Panama
2025-01-14T16:15:00,57.5,1641.70,FZ,2,Afghanistan,Papua New Guinea
2024-11-20T16:15:00,43.81666666666667,2011.10,EK,2,Afghanistan,Paraguay
2024-07-18T17:25:00,47.416666666666664,2315.20,RQ,2,Afghanistan,Peru
2025-03-03T09:25:00,20.166666666666668,1428.50,FZ,2,Afghanistan,Philippines
2024-11-07T15:00:00,19.583333333333332,616.40,FZ,1,Afghanistan,Poland
2024-07-06T17:25:00,22.666666666666668,993.30,RQ,1,Afghanistan,Portugal
2024-12-30T09:25:00,19.75,1526.45,FZ,2,Afghanistan,Qatar
2024-11-17T16:15:00,19.083333333333332,753.10,FZ,2,Afghanistan,Romania
2025-03-17T16:15:00,29.25,1229.30,EK,2,Afghanistan,Rwanda
2024-12-04T16:15:00,32.75,615.60,FZ,1,Afghanistan,Serbia
2024-11-17T09:25:00,17.916666666666668,1020.30,FZ,2,Afghanistan,Seychelles
2025-01-27T15:00:00,,1132.30,FZ,2,Afghanistan,Sierra Leone
2024-11-30T16:15:00,22.5,3113.20,FZ,2,Afghanistan,Singapore
2024-12-20T16:15:00,24.75,616.40,FZ,1,Afghanistan,Slovenia
2025-02-14T16:15:00,26.083333333333332,622.30,FZ,2,Afghanistan,South Africa
2024-12-25T16:15:00,24.25,878.30,FZ,2,Afghanistan,Sri Lanka
